Year;Country of origin;Country of asylum;Refugees;Asylum-seekers
2016;Palestinian;United Kingdom of Great Britain and Northern Ireland;480;148
2016;Palestinian;Greece;155;524
2016;Palestinian;Italy;792;226
2016;Palestinian;Portugal;5;5
2016;Palestinian;Spain;595;825
2016;Iraq;France;6043;711
2016;Iraq;United Kingdom of Great Britain and Northern Ireland;3687;2736
2016;Iraq;Germany;86045;65646
2016;Iraq;Greece;8161;3135
2016;Iraq;Italy;4264;1021
2016;Iraq;Portugal;19;75
2016;Iraq;Spain;228;250
2016;Iraq;Switzerland;3494;2079
2016;Israel;France;5;5
2016;Israel;United Kingdom of Great Britain and Northern Ireland;10;14
2016;Israel;Germany;26;59
2016;Israel;Italy;5;9
2016;Israel;Switzerland;5;0
2016;Jordan;France;23;5
2016;Jordan;United Kingdom of Great Britain and Northern Ireland;49;58
2016;Jordan;Germany;182;344
2016;Jordan;Greece;5;10
2016;Jordan;Italy;26;8
2016;Jordan;Spain;22;25
2016;Jordan;Switzerland;52;17
2016;Kuwait;France;41;0
2016;Kuwait;United Kingdom of Great Britain and Northern Ireland;588;122
2016;Kuwait;Germany;14;25
2016;Kuwait;Greece;0;10
2016;Kuwait;Italy;6;0
2016;Kuwait;Switzerland;0;8
2016;Libya;France;322;711
2016;Libya;United Kingdom of Great Britain and Northern Ireland;1368;723
2016;Libya;Germany;686;1829
2016;Libya;Greece;24;11
2016;Libya;Italy;603;257
2016;Libya;Portugal;14;0
2016;Libya;Spain;5;55
2016;Libya;Switzerland;277;96
2016;Lebanon;France;134;18
2016;Lebanon;United Kingdom of Great Britain and Northern Ireland;129;0
2016;Lebanon;Germany;804;4452
2016;Lebanon;Greece;16;82
2016;Lebanon;Italy;349;75
2016;Lebanon;Spain;10;65
2016;Lebanon;Switzerland;44;34
2016;Mauritania;France;5183;542
2016;Mauritania;United Kingdom of Great Britain and Northern Ireland;7;0
2016;Mauritania;Germany;17;174
2016;Mauritania;Greece;41;14
2016;Mauritania;Italy;331;55
2016;Mauritania;Portugal;5;0
2016;Mauritania;Spain;0;20
2016;Mauritania;Switzerland;5;7
2016;Morocco;France;352;439
2016;Morocco;United Kingdom of Great Britain and Northern Ireland;148;90
2016;Morocco;Germany;298;2440
2016;Morocco;Greece;61;224
2016;Morocco;Italy;477;1402
2016;Morocco;Portugal;9;0
2016;Morocco;Spain;59;385
2016;Morocco;Switzerland;48;127
2016;Oman;United Kingdom of Great Britain and Northern Ireland;12;8
2016;Oman;Germany;5;5
2016;Qatar;United Kingdom of Great Britain and Northern Ireland;5;5
2016;Saudi Arabia;France;8;0
2016;Saudi Arabia;United Kingdom of Great Britain and Northern Ireland;103;46
2016;Saudi Arabia;Germany;62;41
2016;Saudi Arabia;Greece;0;5
2016;Saudi Arabia;Italy;6;0
2016;Saudi Arabia;Switzerland;5;9
2016;Syrian Arab Rep.;France;8991;2149
2016;Syrian Arab Rep.;United Kingdom of Great Britain and Northern Ireland;8269;1010
2016;Syrian Arab Rep.;Germany;375122;100527
2016;Syrian Arab Rep.;Greece;14420;13997
2016;Syrian Arab Rep.;Italy;2613;548
2016;Syrian Arab Rep.;Portugal;82;300
2016;Syrian Arab Rep.;Spain;8205;1600
2016;Syrian Arab Rep.;Switzerland;11159;3858
2016;Tunisia;France;272;32
2016;Tunisia;United Kingdom of Great Britain and Northern Ireland;35;40
2016;Tunisia;Germany;106;856
2016;Tunisia;Greece;6;32
2016;Tunisia;Italy;542;312
2016;Tunisia;Portugal;0;5
2016;Tunisia;Spain;0;20
2016;Tunisia;Switzerland;283;53
2016;United Arab Emirates;United Kingdom of Great Britain and Northern Ireland;18;5
2016;United Arab Emirates;Germany;10;10
2016;Western Sahara;France;420;1358
2016;Western Sahara;United Kingdom of Great Britain and Northern Ireland;11;0
2016;Western Sahara;Greece;0;5
2016;Western Sahara;Italy;5;0
2016;Western Sahara;Spain;17;15
2016;Western Sahara;Switzerland;8;5
2016;Yemen;France;143;5
2016;Yemen;United Kingdom of Great Britain and Northern Ireland;356;77
2016;Yemen;Germany;291;787
2016;Yemen;Greece;57;32
2016;Yemen;Italy;74;33
2016;Yemen;Portugal;0;5
2016;Yemen;Spain;9;55
2016;Yemen;Switzerland;339;42
