Year;Country of origin;Country of asylum;Refugees;Asylum-seekers
2020;Mauritania;France;5766;1465
2020;Mauritania;United Kingdom of Great Britain and Northern Ireland;9;0
2020;Mauritania;Germany;38;97
2020;Mauritania;Greece;57;20
2020;Mauritania;Italy;350;8
2020;Mauritania;Spain;14;100
2020;Mauritania;Switzerland;10;5
2020;Morocco;France;840;538
2020;Morocco;United Kingdom of Great Britain and Northern Ireland;222;252
2020;Morocco;Germany;773;1149
2020;Morocco;Greece;189;249
2020;Morocco;Italy;1384;1011
2020;Morocco;Portugal;9;25
2020;Morocco;Spain;430;1825
2020;Morocco;Switzerland;74;54
2020;Oman;United Kingdom of Great Britain and Northern Ireland;19;10
2020;Oman;Germany;9;11
2020;Oman;Spain;0;5
2020;Qatar;United Kingdom of Great Britain and Northern Ireland;6;13
2020;Qatar;Germany;5;0
2020;Saudi Arabia;France;28;0
2020;Saudi Arabia;United Kingdom of Great Britain and Northern Ireland;247;149
2020;Saudi Arabia;Germany;160;22
2020;Saudi Arabia;Greece;7;5
2020;Saudi Arabia;Italy;25;0
2020;Saudi Arabia;Spain;5;5
2020;Saudi Arabia;Switzerland;18;0
2020;Syrian Arab Rep.;France;19265;3101
2020;Syrian Arab Rep.;United Kingdom of Great Britain and Northern Ireland;11422;1459
2020;Syrian Arab Rep.;Germany;562168;38124
2020;Syrian Arab Rep.;Greece;36013;7520
2020;Syrian Arab Rep.;Italy;4815;1060
2020;Syrian Arab Rep.;Portugal;768;0
2020;Syrian Arab Rep.;Spain;14491;1805
2020;Syrian Arab Rep.;Switzerland;20077;263
2020;Tunisia;France;384;315
2020;Tunisia;United Kingdom of Great Britain and Northern Ireland;63;63
2020;Tunisia;Germany;213;562
2020;Tunisia;Greece;22;36
2020;Tunisia;Italy;730;336
2020;Tunisia;Spain;14;155
2020;Tunisia;Switzerland;207;23
2020;United Arab Emirates;United Kingdom of Great Britain and Northern Ireland;25;8
2020;United Arab Emirates;Germany;37;0
2020;United Arab Emirates;Italy;5;5
2020;Western Sahara;France;728;333
2020;Western Sahara;United Kingdom of Great Britain and Northern Ireland;11;0
2020;Western Sahara;Greece;9;9
2020;Western Sahara;Italy;6;0
2020;Western Sahara;Spain;20;40
2020;Western Sahara;Switzerland;9;0
2020;Yemen;France;510;72
2020;Yemen;United Kingdom of Great Britain and Northern Ireland;912;440
2020;Yemen;Germany;2820;923
2020;Yemen;Greece;752;96
2020;Yemen;Italy;154;54
2020;Yemen;Portugal;9;0
2020;Yemen;Spain;225;585
2020;Yemen;Switzerland;145;6
